State,Total Beds,Participation,Year,Population,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
NY,63841,0.906,2010,19400080.0,65606,61467,4139,26293,22292,4001,39313,39175,138,12332,12283,49,0,0,0,4259,1905,2354,0,0,0,5857,5046,811
OH,11324,0.861,2010,11539327.0,12569,10729,1840,7719,6295,1424,4850,4434,416,1595,1453,142,0,0,0,2240,1676,564,0,0,0,1527,1293,234
OK,3633,0.634,2010,3759632.0,5229,3315,1914,3317,2239,1078,1912,1076,836,665,360,305,0,0,0,620,395,225,0,0,0,474,350,124
OR,7640,0.544,2010,3837532.0,19492,7231,12261,10731,3654,7077,8761,3577,5184,2811,1164,1647,0,0,0,2601,683,1918,0,0,0,1285,573,712
PA,15745,0.841,2010,12711158.0,14516,13418,1098,7191,6125,1066,7325,7293,32,2393,2380,13,0,0,0,1524,868,656,0,0,0,1441,1274,167
RI,1215,0.893,2010,1053938.0,1282,1206,76,704,632,72,578,574,4,216,215,1,0,0,0,86,60,26,0,0,0,91,87,4
SC,3508,0.774,2010,4635656.0,4473,3036,1437,3194,1945,1249,1279,1091,188,474,403,71,0,0,0,674,392,282,0,0,0,687,497,190
SD,1379,0.348,2010,816165.0,731,667,64,445,381,64,286,286,0,87,87,0,0,0,0,109,45,64,0,0,0,135,118,17
TN,6202,0.6409999999999999,2010,6355301.0,10276,6999,3277,7623,5060,2563,2653,1939,714,956,665,291,0,0,0,2495,1496,999,0,0,0,1679,1075,604
TX,22393,0.637,2010,25242679.0,35121,19191,15930,24078,11249,12829,11043,7942,3101,3987,2796,1191,0,0,0,6512,2577,3935,0,0,0,5133,2688,2445
UT,2922,0.89,2010,2775334.0,3284,2722,562,1926,1393,533,1358,1329,29,404,395,9,0,0,0,406,125,281,0,0,0,342,301,41
VA,7949,0.718,2010,8023680.0,9080,7439,1641,5338,3966,1372,3742,3473,269,1181,1089,92,0,0,0,1510,983,527,0,0,0,995,830,165
VT,786,0.605,2010,625880.0,1220,1078,142,797,672,125,423,406,17,167,162,5,0,0,0,133,85,48,0,0,0,117,104,13
WA,18071,0.785,2010,6742902.0,22878,16489,6389,11901,6705,5196,10977,9784,1193,3388,3023,365,0,0,0,2106,1281,825,0,0,0,2043,1282,761
WI,6008,0.8640000000000001,2010,5690479.0,6333,5253,1080,3040,2598,442,3293,2655,638,1080,856,224,0,0,0,727,608,119,0,0,0,609,581,28
WV,2002,0.732,2010,1854214.0,2264,1524,740,1527,1048,479,737,476,261,245,169,76,0,0,0,516,358,158,0,0,0,576,393,183
WY,904,0.407,2010,564483.0,579,515,64,327,269,58,252,246,6,90,88,2,0,0,0,101,52,49,0,0,0,85,71,14
AK,1939,0.8190000000000001,2011,722038.0,1913,1760,368,1286,1042,244,842,718,124,277,240,37,253,194,59,226,169,57,27,25,2,288,236,52
AL,4497,0.518,2011,4798834.0,5209,3749,1809,4325,2782,1543,1233,967,266,434,328,106,1114,418,696,1046,396,650,68,22,46,659,387,272
AR,2710,0.672,2011,2940407.0,4214,1802,1622,2505,1320,1185,919,482,437,349,187,162,607,328,279,500,267,233,107,61,46,411,268,143
AZ,8748,0.861,2011,6473497.0,11302,7302,3202,6403,3684,2719,4101,3618,483,1239,1119,120,2283,1028,1255,1939,738,1201,344,290,54,1528,1018,510
CA,49657,0.7020000000000001,2011,37641823.0,120098,50691,74437,97964,29028,68936,27164,21663,5501,9021,7293,1728,34589,7039,27550,30807,5826,24981,3782,1213,2569,16783,6689,10094
CO,6361,0.88,2011,5121771.0,16768,6146,8970,4546,2651,1895,10570,3495,7075,2935,1154,1781,1495,549,946,1288,376,912,207,173,34,2074,1381,693
CT,3906,0.8740000000000001,2011,3588023.0,4209,3761,695,3071,2417,654,1385,1344,41,482,465,17,1099,769,330,1043,713,330,56,56,0,443,396,47
DC,6479,0.862,2011,619602.0,6954,6241,305,3858,3553,305,2688,2688,0,858,858,0,2509,2234,275,2093,1818,275,416,416,0,515,490,25
DE,1216,0.595,2011,907316.0,1008,1013,22,663,641,22,372,372,0,116,116,0,70,59,11,70,59,11,0,0,0,55,53,2
FL,23974,0.75,2011,19093352.0,55170,20824,35863,37584,13934,23650,19103,6890,12213,6483,2325,4158,11638,3577,8061,10263,3195,7068,1375,382,993,5644,2276,3368
GA,11167,0.6679999999999999,2011,9801578.0,20516,8723,12252,15975,5388,10587,5000,3335,1665,1661,1132,529,4581,2112,2469,3879,1841,2038,702,271,431,2243,1025,1218
HI,4250,0.956,2011,1379252.0,6246,3632,2556,3195,1077,2118,2993,2555,438,775,650,125,935,116,819,904,111,793,31,5,26,505,210,295
IA,3982,0.8540000000000001,2011,3066054.0,2928,3013,121,1628,1518,110,1506,1495,11,472,467,5,351,284,67,315,248,67,36,36,0,267,255,12
ID,1895,0.617,2011,1583828.0,1968,1585,614,1310,841,469,889,744,145,297,256,41,308,149,159,236,129,107,72,20,52,250,169,81
IL,13045,0.757,2011,12867291.0,14144,11089,2920,8173,5692,2481,5836,5397,439,1957,1804,153,2563,1483,1080,2400,1393,1007,163,90,73,1081,765,316
IN,7245,0.611,2011,6516045.0,6259,5550,646,3789,3256,533,2407,2294,113,758,719,39,602,425,177,602,425,177,0,0,0,714,638,76
KS,2942,0.642,2011,2869035.0,2684,2222,289,1425,1200,225,1086,1022,64,328,309,19,338,252,86,280,205,75,58,47,11,384,342,42
KY,5389,0.682,2011,4369488.0,5230,5183,851,3842,3170,672,2192,2013,179,731,678,53,784,577,207,659,508,151,125,69,56,636,579,57
LA,5073,0.772,2011,4575184.0,7772,3405,5886,7941,2197,5744,1350,1208,142,469,424,45,4433,165,4268,4352,158,4194,81,7,74,950,443,507
MA,14567,0.8759999999999999,2011,6613149.0,17501,15961,703,6344,5672,672,10320,10289,31,3531,3521,10,2061,1711,350,1666,1319,347,395,392,3,1268,1210,58
MD,6284,0.8290000000000001,2011,5838991.0,9454,6496,3712,6353,3957,2396,3855,2539,1316,1338,829,509,1800,898,902,1627,803,824,173,95,78,696,577,119
ME,2801,0.884,2011,1328150.0,2393,2418,29,1184,1157,27,1263,1261,2,427,426,1,212,202,10,212,202,10,0,0,0,127,121,6
MI,12108,0.87,2011,9881521.0,12592,10864,2321,7634,5721,1913,5551,5143,408,1825,1689,136,1764,1258,506,1611,1142,469,153,116,37,959,755,204
MN,6973,0.7340000000000001,2011,5345668.0,7744,6567,928,3410,2718,692,4085,3849,236,1265,1189,76,1862,1518,344,1211,955,256,651,563,88,449,371,78
