State,Total Beds,Participation,Year,Population,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Budget
CO,7653,0.6753,2015,5452107.0,9953,7134,2819,5729,3739,1990,4224,3395,829,1242,996,246,1877,882,995,1572,754,818,305,128,177,950,644,306,29714758
CT,3399,0.8226,2015,3587509.0,4047,3421,626,2719,2124,595,1328,1297,31,456,445,11,583,278,305,538,240,298,45,38,7,282,241,41,43661777
DC,6963,0.9154,2015,675254.0,7298,6754,544,3821,3277,544,3477,3477,0,1131,1131,0,1790,1470,320,1593,1273,320,197,197,0,408,366,42,23888687
DE,1146,0.5419,2015,941413.0,953,916,37,602,565,37,351,351,0,115,115,0,80,75,5,64,59,5,16,16,0,79,74,5,7785779
FL,22026,0.7340000000000001,2015,20224249.0,35900,18883,17017,26325,12033,14292,9575,6850,2725,3053,2107,946,6540,1383,5157,6021,1210,4811,519,173,346,3926,2372,1554,82307340
GA,9219,0.6075,2015,10181111.0,13790,7987,5803,9702,4783,4919,4088,3204,884,1236,1014,222,2137,622,1515,1994,568,1426,143,54,89,1548,866,682,38048336
HI,4363,0.9108,2015,1422484.0,7620,3777,3843,4307,1243,3064,3313,2534,779,798,613,185,1534,180,1354,1372,153,1219,162,27,135,692,275,417,11366445
IA,3606,0.5588,2015,3121460.0,3081,2878,203,1501,1302,199,1580,1576,4,496,495,1,275,221,54,201,147,54,74,74,0,207,175,32,8427262
ID,1859,0.5056,2015,1651523.0,1966,1497,469,1172,832,340,794,665,129,251,213,38,245,112,133,164,84,80,81,28,53,249,174,75,3713768
IL,11975,0.7147,2015,12864342.0,13177,10463,2714,8152,5599,2553,5025,4864,161,1648,1597,51,1912,994,918,1799,892,907,113,102,11,1226,769,457,102735270
IN,6511,0.4927,2015,6608296.0,5863,5280,583,3914,3353,561,1949,1927,22,636,631,5,703,529,174,608,450,158,95,79,16,790,726,64,16334262
KS,2979,0.5485,2015,2909502.0,2588,2283,305,1466,1191,275,1122,1092,30,346,334,12,379,245,134,339,214,125,40,31,9,311,276,35,8869983
KY,4087,0.6469,2015,4425999.0,4538,3796,742,3151,2622,529,1387,1174,213,467,398,69,457,413,44,383,345,38,74,68,6,591,541,50,18635431
LA,4028,0.6631,2015,4664851.0,4081,2890,1191,3217,2053,1164,864,837,27,285,276,9,773,287,486,735,255,480,38,32,6,392,350,42,43574952
MA,17707,0.862,2015,6795891.0,21135,20542,593,6378,5814,564,14757,14728,29,4903,4892,11,2561,2320,241,1411,1170,241,1150,1150,0,1133,1101,32,68050963
MD,6076,0.7556,2015,5986717.0,8390,6594,1796,5383,3987,1396,3007,2607,400,970,847,123,1847,1016,831,1634,923,711,213,93,120,714,586,128,47028670
ME,2576,0.7904,2015,1328484.0,2372,2313,59,1219,1170,49,1153,1143,10,358,355,3,217,203,14,193,179,14,24,24,0,151,142,9,11977853
MI,10337,0.7478,2015,9932573.0,10516,9444,1072,6546,5553,993,3970,3891,79,1285,1261,24,935,621,314,830,519,311,105,102,3,1067,991,76,70003848
MN,6779,0.7097,2015,5482503.0,7546,6705,841,3622,2987,635,3924,3718,206,1192,1121,71,1396,1054,342,1124,833,291,272,221,51,297,253,44,32076052
MO,6700,0.423,2015,6071745.0,6482,5411,1071,3434,2640,794,3048,2771,277,926,845,81,1025,652,373,875,536,339,150,116,34,540,430,110,31381154
MS,1498,0.5834,2015,2988693.0,1983,1141,842,1475,693,782,508,448,60,152,138,14,243,67,176,233,67,166,10,0,10,206,87,119,5444246
MT,1224,0.3162,2015,1030503.0,1709,837,872,1127,478,649,582,359,223,182,120,62,166,26,140,154,23,131,12,3,9,277,98,179,2455596
NC,9337,0.6215,2015,10033079.0,10685,8260,2425,7156,5372,1784,3529,2888,641,1110,921,189,1364,682,682,1253,605,648,111,77,34,1092,904,188,22576438
ND,966,0.7381,2015,754022.0,1305,819,486,864,591,273,441,228,213,123,71,52,138,68,70,70,52,18,68,16,52,137,90,47,2047642
NE,2973,0.6572,2015,1891507.0,2744,2621,123,1720,1597,123,1024,1024,0,327,327,0,322,266,56,257,201,56,65,65,0,247,231,16,8478519
NH,1369,0.7904,2015,1336294.0,1445,1313,132,778,666,112,667,647,20,244,238,6,317,260,57,257,205,52,60,55,5,138,124,14,6904996
NJ,7737,0.8224,2015,8870869.0,10098,9124,974,6189,5293,896,3909,3831,78,1346,1327,19,1410,972,438,1182,752,430,228,220,8,696,616,80,40749888
NM,2277,0.3948,2015,2090211.0,2629,2175,454,1666,1237,429,963,938,25,296,290,6,716,445,271,621,360,261,95,85,10,278,214,64,10292957
NV,4466,0.8659,2015,2868666.0,8743,4528,4215,7858,3646,4212,885,882,3,279,278,1,594,117,477,585,108,477,9,9,0,860,516,344,15554510
NY,86578,0.8489,2015,19661411.0,88250,84228,4022,36135,32172,3963,52115,52056,59,15361,15344,17,7116,4733,2383,4327,1982,2345,2789,2751,38,2399,2268,131,209102768
OH,10273,0.7409,2015,11617850.0,11182,10083,1099,7565,6590,975,3617,3493,124,1108,1073,35,1275,887,388,1160,782,378,115,105,10,1183,1073,110,95491545
OK,3804,0.6209,2015,3909831.0,3777,2999,778,2781,2111,670,996,888,108,343,305,38,581,342,239,508,289,219,73,53,20,351,253,98,8082799
OR,6144,0.5329999999999999,2015,4016918.0,13226,5831,7395,9461,4048,5413,3765,1783,1982,1179,586,593,4011,1008,3003,3521,921,2600,490,87,403,1464,769,695,31894306
PA,16140,0.7483,2015,12785759.0,15421,13993,1428,8605,7276,1329,6816,6717,99,2299,2269,30,1590,1040,550,1442,909,533,148,131,17,1375,1295,80,102263057
RI,1142,0.7636,2015,1056173.0,1111,1075,36,706,673,33,405,402,3,112,111,1,130,118,12,110,100,10,20,18,2,107,105,2,5985905
SC,3755,0.5526,2015,4892253.0,5354,3458,1896,3934,2465,1469,1420,993,427,510,332,178,1020,525,495,916,456,460,104,69,35,681,470,211,9906624
SD,1460,0.4541,2015,853933.0,1036,900,136,630,506,124,406,394,12,125,122,3,95,67,28,85,59,26,10,8,2,177,170,7,1126640
TN,6981,0.5021,2015,6590808.0,9123,5879,3244,6516,4075,2441,2607,1804,803,869,578,291,1650,702,948,1492,648,844,158,54,104,945,756,189,20390357
TX,20812,0.5515,2015,27486814.0,23678,16192,7486,16265,9234,7031,7413,6958,455,2316,2159,157,4304,1915,2389,3778,1543,2235,526,372,154,2393,1490,903,87150963
