,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
FL,21575,18825,15890,0.7365,11372,10081,122,2415,9279,11895,401,11372,9344,8220,0.7228,420,547,1069,4725,6347,300,10081,9359,7548,0.7487,1346,4554,5426,101,122,122,122,1,0,0,122,0,5158,4977,4155,0.8055,1011,3462,1696,0,5147,4966,4144,0.8051,1007,3451,1696,0,11,11,11,1,4,11,0,0,16766,16708,11465,0.6838,2921,6713,10053,0,1093,1093,462,0.4227,130,412,681,0
GA,8792,7323,4954,0.5635,4362,4430,0,1033,3585,5172,35,4362,3435,2109,0.4835,253,190,447,1630,2705,27,4430,3888,2845,0.6422,586,1955,2467,8,0,0,0,.,0,0,0,0,1490,1376,1246,0.8362,285,1090,400,0,1447,1333,1246,0.8611,266,1047,400,0,43,43,0,0,19,43,0,0,8784,8718,6286,0.7156,1400,3291,5493,0,28,28,0,0,0,0,28,0
GU,146,105,100,0.6849,125,21,0,19,82,47,17,125,84,79,0.632,0,7,19,82,26,17,21,21,21,1,0,0,21,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,160,160,81,0.5063,16,62,98,0,0,0,0,.,0,0,0,0
HI,4412,4213,4213,0.9549,1714,2673,25,698,2888,1508,16,1714,1571,1571,0.9166,0,21,232,864,834,16,2673,2617,2617,0.979,466,2024,649,0,25,25,25,1,0,0,25,0,163,163,163,1,19,73,90,0,163,163,163,1,19,73,90,0,0,0,0,.,0,0,0,0,2132,2132,1304,0.6116,117,437,1695,0,0,0,0,.,0,0,0,0
IA,3568,2893,2402,0.6732,1483,2085,0,618,2023,1530,15,1483,1123,781,0.5266,237,72,176,564,906,13,2085,1770,1621,0.7775,442,1459,624,2,0,0,0,.,0,0,0,0,642,320,320,0.4984,181,524,118,0,642,320,320,0.4984,181,524,118,0,0,0,0,.,0,0,0,0,1102,1102,796,0.7223,163,464,638,0,158,158,154,0.9747,29,116,42,0
ID,1906,1642,894,0.469,1075,831,0,244,937,949,20,1075,846,354,0.3293,0,54,114,488,567,20,831,796,540,0.6498,130,449,382,0,0,0,0,.,0,0,0,0,291,291,248,0.8522,70,228,63,0,291,291,248,0.8522,70,228,63,0,0,0,0,.,0,0,0,0,839,814,571,0.6806,121,378,461,0,0,0,0,.,0,0,0,0
IL,11381,10047,8911,0.783,4597,6675,109,1561,5736,5558,87,4597,3682,3128,0.6804,701,232,368,1492,3063,42,6675,6256,5674,0.85,1193,4244,2386,45,109,109,109,1,0,0,109,0,1188,1186,1167,0.9823,253,841,347,0,1188,1186,1167,0.9823,253,841,347,0,0,0,0,.,0,0,0,0,13845,13769,10503,0.7586,1556,5487,8358,0,260,260,145,0.5577,43,177,83,0
IN,6479,5008,3062,0.4726,3918,2511,50,961,3127,3253,99,3918,2916,1496,0.3818,386,263,536,1799,2023,96,2511,2042,1516,0.6037,425,1328,1180,3,50,50,50,1,0,0,50,0,581,550,525,0.9036,116,385,196,0,581,550,525,0.9036,116,385,196,0,0,0,0,.,0,0,0,0,3631,3608,2474,0.6814,518,1304,2327,0,118,118,8,0.0678,15,36,82,0
KS,2462,1947,1412,0.5735,1433,1009,20,406,1370,1083,9,1433,1076,853,0.5953,115,62,202,682,751,0,1009,851,539,0.5342,204,688,312,9,20,20,20,1,0,0,20,0,205,196,191,0.9317,60,159,46,0,197,188,188,0.9543,58,151,46,0,8,8,3,0.375,2,8,0,0,1293,1293,955,0.7386,164,441,852,0,12,12,0,0,2,6,6,0
KY,3797,3206,2559,0.674,2228,1569,0,463,1362,2409,26,2228,1770,1194,0.5359,108,167,229,715,1493,20,1569,1436,1365,0.87,234,647,916,6,0,0,0,.,0,0,0,0,512,485,391,0.7637,246,459,53,0,480,453,359,0.7479,238,427,53,0,32,32,32,1,8,32,0,0,3449,3307,2381,0.6903,537,1437,2012,0,324,324,75,0.2315,10,20,304,0
LA,3675,3157,2538,0.6906,1757,1868,50,347,1210,2378,87,1757,1466,1196,0.6807,59,45,165,616,1094,47,1868,1641,1292,0.6916,182,594,1234,40,50,50,50,1,0,0,50,0,1195,1186,1178,0.9858,215,716,479,0,1032,1023,1015,0.9835,168,553,479,0,163,163,163,1,47,163,0,0,4990,4930,3599,0.7212,520,1543,3447,0,13,13,13,1,6,13,0,0
MA,17382,16377,15075,0.8673,13903,3433,46,4189,12162,5208,12,13903,13435,12760,0.9178,408,2346,3622,10804,3087,12,3433,2896,2279,0.6639,567,1358,2075,0,46,46,36,0.7826,0,0,46,0,3314,3305,3293,0.9937,983,2979,335,0,3185,3176,3164,0.9934,958,2888,297,0,129,129,129,1,25,91,38,0,11385,11347,9313,0.818,1260,3219,8166,0,3643,3612,1691,0.4642,998,2708,935,0
MD,6138,5663,4799,0.7819,3188,2865,85,817,2762,3354,22,3188,2823,2420,0.7591,905,519,358,1401,1774,13,2865,2755,2294,0.8007,459,1361,1495,9,85,85,85,1,0,0,85,0,1081,1053,853,0.7891,275,846,235,0,1044,1016,827,0.7921,266,820,224,0,37,37,26,0.7027,9,26,11,0,8146,8146,5728,0.7032,1258,3754,4391,1,332,332,332,1,105,277,55,0
ME,2484,2109,1880,0.7568,1274,1195,15,418,1326,1142,16,1274,1083,916,0.719,0,141,184,609,649,16,1195,1011,949,0.7941,234,717,478,0,15,15,15,1,0,0,15,0,79,79,79,1,33,48,31,0,79,79,79,1,33,48,31,0,0,0,0,.,0,0,0,0,2561,2522,2443,0.9539,334,1268,1293,0,157,154,146,0.9299,43,100,57,0
MI,9261,7227,6669,0.7201,5549,3630,82,1380,4123,4948,190,5549,4278,4010,0.7227,680,315,775,2353,3074,122,3630,2867,2590,0.7135,605,1770,1792,68,82,82,69,0.8415,0,0,82,0,2294,2246,2211,0.9638,469,1624,670,0,2124,2076,2041,0.9609,445,1529,595,0,170,170,170,1,24,95,75,0,9997,9967,8373,0.8376,1552,4807,5190,0,13763,13742,488,0.0355,2941,10436,3327,0
MN,6871,5987,4971,0.7235,3737,3134,0,1193,3951,2770,150,3737,3025,2399,0.642,185,378,528,1696,1960,81,3134,2962,2572,0.8207,665,2255,810,69,0,0,0,.,0,0,0,0,2095,2089,2079,0.9924,572,1830,264,1,2095,2089,2079,0.9924,572,1830,264,1,0,0,0,.,0,0,0,0,12256,12166,8853,0.7223,1910,5817,6385,54,561,553,476,0.8485,117,329,232,0
MO,6529,4707,3528,0.5404,4117,2372,40,1081,2975,3431,123,4117,2575,1947,0.4729,174,261,558,1658,2370,89,2372,2092,1555,0.6556,523,1317,1021,34,40,40,26,0.65,0,0,40,0,1272,1218,1118,0.8789,247,804,466,2,1272,1218,1118,0.8789,247,804,466,2,0,0,0,.,0,0,0,0,5370,5353,4215,0.7849,1090,2710,2660,0,108,108,108,1,1,2,106,0
MS,1383,1015,779,0.5633,723,660,0,178,668,673,42,723,452,351,0.4855,56,96,77,323,368,32,660,563,428,0.6485,101,345,305,10,0,0,0,.,0,0,0,0,575,575,575,1,154,465,110,0,575,575,575,1,154,465,110,0,0,0,0,.,0,0,0,0,334,324,253,0.7575,43,113,221,0,0,0,0,.,0,0,0,0
MT,1257,958,347,0.2761,781,476,0,252,640,610,7,781,581,143,0.1831,43,116,124,386,395,0,476,377,204,0.4286,128,254,215,7,0,0,0,.,0,0,0,0,340,340,314,0.9235,158,322,18,0,340,340,314,0.9235,158,322,18,0,0,0,0,.,0,0,0,0,671,671,315,0.4694,197,364,307,0,14,14,14,1,0,0,14,0
NC,8641,7199,5599,0.648,6060,2581,0,907,3524,5038,79,6060,4791,3753,0.6193,474,377,560,2429,3563,68,2581,2408,1846,0.7152,347,1095,1475,11,0,0,0,.,0,0,0,0,2223,2200,2192,0.9861,479,1581,642,0,2223,2200,2192,0.9861,479,1581,642,0,0,0,0,.,0,0,0,0,6239,6229,5257,0.8426,812,2473,3766,0,259,259,259,1,46,150,109,0
ND,980,648,638,0.651,744,236,0,181,409,563,8,744,537,535,0.7191,25,34,142,296,440,8,236,111,103,0.4364,39,113,123,0,0,0,0,.,0,0,0,0,71,71,71,1,0,0,71,0,71,71,71,1,0,0,71,0,0,0,0,.,0,0,0,0,575,543,543,0.9443,86,163,412,0,158,158,158,1,8,18,140,0
NE,2733,2551,1901,0.6956,1399,1334,0,343,1151,1557,25,1399,1246,934,0.6676,0,242,129,483,895,21,1334,1305,967,0.7249,214,668,662,4,0,0,0,.,0,0,0,0,600,550,550,0.9167,125,426,174,0,600,550,550,0.9167,125,426,174,0,0,0,0,.,0,0,0,0,1113,1113,696,0.6253,127,378,735,0,199,199,42,0.2111,26,83,116,0
NH,1476,1291,1091,0.7392,807,660,9,274,814,636,26,807,648,568,0.7038,38,28,115,373,408,26,660,634,514,0.7788,159,441,219,0,9,9,9,1,0,0,9,0,144,144,116,0.8056,33,66,78,0,144,144,116,0.8056,33,66,78,0,0,0,0,.,0,0,0,0,1097,1097,710,0.6472,173,467,630,0,0,0,0,.,0,0,0,0
NJ,7127,6250,5921,0.8308,4619,2488,20,1378,3663,3368,96,4619,4043,3839,0.8311,216,2482,901,2292,2255,72,2488,2187,2062,0.8288,477,1371,1093,24,20,20,20,1,0,0,20,0,1477,1474,1414,0.9573,342,929,548,0,1460,1457,1397,0.9568,336,912,548,0,17,17,17,1,6,17,0,0,5916,5859,4689,0.7926,772,2114,3802,0,536,536,431,0.8041,62,171,365,0
NM,1880,1242,801,0.4261,1087,793,0,264,940,815,125,1087,638,360,0.3312,485,63,120,477,535,75,793,604,441,0.5561,144,463,280,50,0,0,0,.,0,0,0,0,508,423,396,0.7795,119,379,129,0,508,423,396,0.7795,119,379,129,0,0,0,0,.,0,0,0,0,2388,2328,1292,0.541,422,984,1404,0,8,8,8,1,0,0,8,0
NV,3577,3302,2858,0.799,2198,1354,25,309,721,2801,55,2198,1952,1676,0.7625,349,323,234,514,1651,33,1354,1325,1157,0.8545,75,207,1125,22,25,25,25,1,0,0,25,0,521,521,486,0.9328,105,307,214,0,521,521,486,0.9328,105,307,214,0,0,0,0,.,0,0,0,0,2778,2778,2493,0.8974,221,577,2199,2,0,0,0,.,0,0,0,0
NY,84730,80950,74660,0.8812,76479,8052,199,16167,52980,31517,233,76479,73660,68160,0.8912,435,1954,15059,49774,26544,161,8052,7100,6310,0.7837,1108,3206,4774,72,199,190,190,0.9548,0,0,199,0,2493,2369,1162,0.4661,346,940,1551,2,2493,2369,1162,0.4661,346,940,1551,2,0,0,0,.,0,0,0,0,42167,41633,26559,0.6299,3754,10843,31318,6,659,659,328,0.4977,151,458,201,0
OH,9844,8604,7508,0.7627,6628,3124,92,1300,3876,5886,82,6628,5715,4835,0.7295,500,587,872,2646,3913,69,3124,2797,2593,0.83,428,1230,1881,13,92,92,80,0.8696,0,0,92,0,4463,4356,4244,0.9509,1087,3454,1009,0,3980,3873,3761,0.945,958,2971,1009,0,483,483,483,1,129,483,0,0,16751,16606,14385,0.8588,2068,6419,10332,0,22,22,22,1,5,15,7,0
OK,3762,2976,2162,0.5747,2914,823,25,405,1433,2228,101,2914,2201,1609,0.5522,56,183,281,1043,1770,101,823,750,528,0.6416,124,390,433,0,25,25,25,1,0,0,25,0,227,187,187,0.8238,36,120,103,4,227,187,187,0.8238,36,120,103,4,0,0,0,.,0,0,0,0,1572,1553,992,0.631,142,379,1188,5,10,10,0,0,1,3,7,0
OR,5791,5294,3241,0.5597,3261,2520,10,792,2105,3601,85,3261,2905,1561,0.4787,347,226,419,1132,2084,45,2520,2379,1670,0.6627,373,973,1507,40,10,10,10,1,0,0,10,0,2394,2227,2223,0.9286,539,1775,619,0,2394,2227,2223,0.9286,539,1775,619,0,0,0,0,.,0,0,0,0,6492,6448,5091,0.7842,873,2335,4154,3,122,122,122,1,26,93,29,0
PA,15682,13791,11475,0.7317,8630,6840,212,2684,8338,7274,70,8630,7431,5660,0.6559,1095,305,1173,4066,4506,58,6840,6148,5603,0.8192,1511,4272,2556,12,212,212,212,1,0,0,212,0,3266,3190,3037,0.9299,682,2178,1088,0,3198,3122,2969,0.9284,661,2110,1088,0,68,68,68,1,21,68,0,0,13059,12972,10610,0.8125,1987,6333,6726,0,1115,1115,1115,1,300,900,215,0
PR,2000,1565,1558,0.779,645,1278,77,215,659,1323,18,645,501,501,0.7767,0,0,31,131,496,18,1278,987,980,0.7668,184,528,750,0,77,77,77,1,0,0,77,0,73,73,64,0.8767,8,30,43,0,73,73,64,0.8767,8,30,43,0,0,0,0,.,0,0,0,0,1806,1693,1606,0.8893,194,515,1291,0,285,285,285,1,3,9,276,0
RI,1122,963,810,0.7219,703,419,0,200,511,610,1,703,619,499,0.7098,152,21,84,243,459,1,419,344,311,0.7422,116,268,151,0,0,0,0,.,0,0,0,0,308,308,308,1,44,106,202,0,308,308,308,1,44,106,202,0,0,0,0,.,0,0,0,0,1452,1444,1236,0.8512,178,576,876,0,344,344,344,1,99,201,143,0
SC,3721,3265,2098,0.5638,1755,1954,12,393,1485,2200,36,1755,1364,806,0.4593,507,117,142,757,985,13,1954,1889,1280,0.6551,251,728,1203,23,12,12,12,1,0,0,12,0,542,524,519,0.9576,95,279,263,0,542,524,519,0.9576,95,279,263,0,0,0,0,.,0,0,0,0,2178,2105,1749,0.803,336,731,1447,0,124,124,29,0.2339,25,95,29,0
SD,1157,831,443,0.3829,813,344,0,286,657,483,17,813,487,209,0.2571,14,133,169,452,357,4,344,344,234,0.6802,117,205,126,13,0,0,0,.,0,0,0,0,33,23,23,0.697,19,24,9,0,33,23,23,0.697,19,24,9,0,0,0,0,.,0,0,0,0,618,618,465,0.7524,161,304,314,0,0,0,0,.,0,0,0,0
TN,6979,6278,3845,0.5509,4319,2652,8,683,2287,4655,37,4319,3781,1816,0.4205,370,337,375,1309,2973,37,2652,2489,2021,0.7621,308,978,1674,0,8,8,8,1,0,0,8,0,1394,1356,1349,0.9677,321,1110,284,0,1394,1356,1349,0.9677,321,1110,284,0,0,0,0,.,0,0,0,0,5002,4932,3424,0.6845,1049,2377,2625,0,42,39,18,0.4286,8,23,19,0
TX,20297,16263,11879,0.5853,13328,6863,106,2537,9519,10603,175,13328,10659,7365,0.5526,59,715,1228,5193,7966,169,6863,5498,4431,0.6456,1309,4326,2531,6,106,106,83,0.783,0,0,106,0,3415,2814,2700,0.7906,761,2527,886,2,3367,2766,2652,0.7876,745,2479,886,2,48,48,48,1,16,48,0,0,12725,12465,8285,0.6511,1904,4646,8079,0,2434,2434,2431,0.9988,539,1635,799,0
UT,2499,1696,1520,0.6082,1810,689,0,288,1014,1450,35,1810,1250,1131,0.6249,580,38,182,690,1085,35,689,446,389,0.5646,106,324,365,0,0,0,0,.,0,0,0,0,1012,1012,1012,1,266,922,90,0,1012,1012,1012,1,266,922,90,0,0,0,0,.,0,0,0,0,2393,2387,2078,0.8684,333,1061,1332,0,2,2,2,1,0,0,2,0
VA,5942,4797,3850,0.6479,4013,1873,56,869,3178,2729,35,4013,3178,2541,0.6332,1054,290,492,1911,2069,33,1873,1563,1253,0.669,377,1267,604,2,56,56,56,1,0,0,56,0,2625,2302,2268,0.864,628,2065,560,0,2563,2302,2268,0.8849,618,2006,557,0,62,0,0,0,10,59,3,0,4314,4314,2827,0.6553,474,1657,2657,0,725,725,640,0.8828,97,328,397,0
VI,143,95,82,0.5734,92,51,0,17,59,84,0,92,56,43,0.4674,0,0,11,47,45,0,51,39,39,0.7647,6,12,39,0,0,0,0,.,0,0,0,0,7,7,7,1,0,0,7,0,7,7,7,1,0,0,7,0,0,0,0,.,0,0,0,0,68,68,68,1,3,3,65,0,0,0,0,.,0,0,0,0
VT,752,634,326,0.4335,424,324,4,127,338,414,0,424,354,152,0.3585,138,140,76,192,232,0,324,276,170,0.5247,51,146,178,0,4,4,4,1,0,0,4,0,465,465,136,0.2925,140,433,32,0,465,465,136,0.2925,140,433,32,0,0,0,0,.,0,0,0,0,575,575,307,0.5339,24,69,506,0,14,14,0,0,0,0,14,0
WA,14627,12972,10157,0.6944,7787,6795,45,2397,7873,6565,189,7787,6786,4978,0.6393,1294,359,887,3100,4565,122,6795,6141,5134,0.7556,1510,4773,1955,67,45,45,45,1,0,0,45,0,7476,7164,6473,0.8658,1792,5336,2140,0,7424,7164,6473,0.8719,1777,5284,2140,0,52,0,0,0,15,52,0,0,10383,10347,8023,0.7727,1052,3297,7076,10,2841,2562,2165,0.7621,608,2152,680,9
WI,6404,5068,4456,0.6958,3614,2726,64,1244,3727,2613,64,3614,2660,2307,0.6384,326,250,646,1944,1606,64,2726,2344,2085,0.7649,598,1783,943,0,64,64,64,1,0,0,64,0,895,895,895,1,205,689,206,0,883,883,883,1,200,677,206,0,12,12,12,1,5,12,0,0,3087,3078,2691,0.8717,272,818,2269,0,271,271,223,0.8229,51,152,119,0
WV,1731,1451,1175,0.6788,1269,449,13,198,659,1062,10,1269,1083,849,0.669,40,50,139,445,819,5,449,355,313,0.6971,59,214,230,5,13,13,13,1,0,0,13,0,308,308,286,0.9286,50,106,202,0,308,308,286,0.9286,50,106,202,0,0,0,0,.,0,0,0,0,1353,1353,1051,0.7768,173,445,908,0,155,155,155,1,13,36,119,0
WY,812,592,515,0.6342,511,301,0,139,401,410,1,511,329,275,0.5382,24,2,85,234,276,1,301,263,240,0.7973,54,167,134,0,0,0,0,.,0,0,0,0,8,8,8,1,3,6,2,0,8,8,8,1,3,6,2,0,0,0,0,.,0,0,0,0,208,208,14,0.0673,27,58,150,0,6,6,6,1,0,0,6,0
Total,411285,361229,299081,0.7272,264629,144749,1907,63870,209122,198247,3916,264629,230385,190715,0.7207,21368,17446,39603,133523,128315,2791,144749,128971,106584,0.7363,24267,75599,68025,1125,1907,1873,1782,0.9345,0,0,1907,0,77141,74093,68208,0.8842,18312,56589,20541,11,75686,72784,66958,0.8847,17930,55261,20414,11,1455,1309,1250,0.8591,382,1328,127,0,340906,337926,246589,0.7233,43007,122978,217841,87,37770,37378,17119,0.4532,7465,24537,13224,9
