State,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
NC,2011,13524,9245,3651,8303,6035,2268,4593,3210,1383,1460,1058,402,1476,916,560,1365,845,520,111,71,40,1248,941,307
ND,2011,688,560,43,396,366,30,207,194,13,60,55,5,75,69,6,67,63,4,8,6,2,124,121,3
NE,2011,3789,3041,507,2210,1872,338,1338,1169,169,433,376,57,502,409,93,445,361,84,57,48,9,310,253,57
NH,2011,1496,1159,310,820,631,189,649,528,121,243,203,40,226,148,78,166,93,73,60,55,5,126,118,8
NJ,2011,13025,12830,1307,6841,5960,881,7296,6870,426,2556,2418,138,955,788,167,750,610,140,205,178,27,811,668,143
NM,2011,3245,2753,848,2246,1581,665,1355,1172,183,430,371,59,1117,658,459,971,564,407,146,94,52,364,221,143
NV,2011,8497,4545,4605,7973,3403,4570,1177,1142,35,381,368,13,1353,196,1157,1342,187,1155,11,9,2,1240,692,548
NY,2011,69566,59778,3667,27338,23842,3496,36107,35936,171,11988,11932,56,4208,2070,2138,3840,1755,2085,368,315,53,5765,5246,519
OH,2011,13977,11224,1806,7812,6329,1483,5218,4895,323,1683,1582,101,2014,1382,632,1881,1288,593,133,94,39,1279,1083,196
OK,2011,5032,2988,1637,3236,2070,1166,1389,918,471,469,311,158,793,418,375,568,307,261,225,111,114,356,301,55
OR,2011,15828,7012,10242,9445,3249,6196,7809,3763,4046,2623,1242,1381,3739,916,2823,3017,704,2313,722,212,510,1474,655,819
PA,2011,14736,14036,1060,7867,6872,995,7229,7164,65,2396,2373,23,1719,1139,580,1508,938,570,211,201,10,1392,1262,130
PR,2011,3212,1034,1866,2346,796,1550,554,238,316,261,111,150,3564,564,3000,1647,249,1398,1917,315,1602,137,50,87
RI,2011,1277,1039,31,652,621,31,418,418,0,137,137,0,176,171,5,176,171,5,0,0,0,123,121,2
SC,2011,4915,2954,2139,3505,1967,1538,1588,987,601,527,347,180,645,231,414,504,229,275,141,2,139,612,389,223
SD,2011,859,762,64,460,413,47,366,349,17,123,119,4,34,21,13,34,21,13,0,0,0,109,99,10
TN,2011,9426,5915,3198,6475,4238,2237,2638,1677,961,910,539,371,1757,904,853,1661,828,833,96,76,20,965,732,233
TX,2011,34052,18972,17939,23577,10407,13170,13334,8565,4769,4357,2906,1451,8223,3253,4970,7390,2695,4695,833,558,275,4891,2365,2526
UT,2011,3527,2687,443,1842,1434,408,1288,1253,35,389,381,8,383,284,99,364,265,99,19,19,0,345,310,35
VA,2011,8424,7386,1430,5231,4017,1214,3585,3369,216,1145,1084,61,1643,1029,614,1571,973,598,72,56,16,931,768,163
VI,2011,484,154,378,450,72,378,82,82,0,22,22,0,195,4,191,195,4,191,0,0,0,32,0,32
VT,2011,1160,1021,123,637,533,104,507,488,19,156,150,6,114,87,27,94,67,27,20,20,0,81,75,6
WA,2011,20504,15075,5364,10868,6218,4650,9571,8857,714,3040,2840,200,2388,1313,1075,2136,1211,925,252,102,150,1478,1167,311
WI,2011,6027,5355,430,2838,2504,334,2947,2851,96,994,965,29,497,425,72,410,347,63,87,78,9,607,584,23
WV,2011,2410,1405,806,1662,992,670,549,413,136,207,156,51,299,189,110,287,179,108,12,10,2,302,236,66
WY,2011,1813,195,843,320,127,193,718,68,650,223,29,194,104,27,77,82,27,55,22,0,22,83,39,44
AK,2010,1863,1671,192,1118,953,165,745,718,27,244,236,8,0,0,0,164,119,45,0,0,0,300,270,30
AL,2010,6046,3891,2155,4553,2857,1696,1493,1034,459,551,389,162,0,0,0,1043,502,541,0,0,0,1089,911,178
AR,2010,2762,1728,1034,2120,1312,808,642,416,226,222,137,85,0,0,0,395,145,250,0,0,0,362,247,115
AZ,2010,13711,7214,6497,9226,3366,5860,4485,3848,637,1372,1192,180,0,0,0,1935,544,1391,0,0,0,2230,1052,1178
CA,2010,123480,50899,72581,96940,32302,64638,26540,18597,7943,8810,6214,2596,0,0,0,31235,6964,24271,0,0,0,17604,6600,11004
CO,2010,15482,9031,6451,7574,4576,2998,7908,4455,3453,2234,1353,881,0,0,0,1432,510,922,0,0,0,1316,853,463
CT,2010,4316,3817,499,2993,2511,482,1323,1306,17,447,440,7,0,0,0,777,595,182,0,0,0,483,423,60
DC,2010,6539,6109,430,4016,3586,430,2523,2523,0,800,800,0,0,0,0,2110,1723,387,0,0,0,579,563,16
DE,2010,982,930,52,681,629,52,301,301,0,111,111,0,0,0,0,97,71,26,0,0,0,74,69,5
FL,2010,57551,21817,35734,35738,13231,22507,21813,8586,13227,8017,2874,5143,0,0,0,9232,3700,5532,0,0,0,7794,2818,4976
GA,2010,19836,8746,11090,14377,5612,8765,5459,3134,2325,1812,1093,719,0,0,0,3635,1495,2140,0,0,0,2766,1372,1394
GU,2010,1635,182,1453,534,37,497,1101,145,956,172,32,140,0,0,0,28,1,27,0,0,0,27,5,22
HI,2010,5834,3535,2299,2889,944,1945,2945,2591,354,764,675,89,0,0,0,801,96,705,0,0,0,419,176,243
IA,2010,3014,2903,111,1528,1426,102,1486,1477,9,481,477,4,0,0,0,249,182,67,0,0,0,221,207,14
ID,2010,2346,1564,782,1445,831,614,901,733,168,287,242,45,0,0,0,111,37,74,0,0,0,239,128,111
IL,2010,14395,12208,2187,7568,5767,1801,6827,6441,386,2229,2096,133,0,0,0,2130,1435,695,0,0,0,1133,886,247
IN,2010,6452,5233,1219,3588,2736,852,2864,2497,367,913,805,108,0,0,0,775,478,297,0,0,0,767,633,134
KS,2010,2024,1828,196,1318,1166,152,706,662,44,212,198,14,0,0,0,191,149,42,0,0,0,711,660,51
KY,2010,6623,5599,1024,4125,3261,864,2498,2338,160,805,756,49,0,0,0,695,404,291,0,0,0,619,534,85
LA,2010,12482,4096,8386,10101,2390,7711,2381,1706,675,763,554,209,0,0,0,4815,226,4589,0,0,0,2015,502,1513
MA,2010,16646,15595,1051,6403,5483,920,10243,10112,131,3526,3479,47,0,0,0,2007,1502,505,0,0,0,1597,1449,148
MD,2010,10845,6515,4330,5999,3902,2097,4846,2613,2233,1603,864,739,0,0,0,2179,1231,948,0,0,0,910,646,264
ME,2010,2379,2351,28,1061,1033,28,1318,1318,0,447,447,0,0,0,0,226,221,5,0,0,0,108,105,3
MI,2010,13058,10219,2839,7365,5371,1994,5693,4848,845,1880,1602,278,0,0,0,1824,1309,515,0,0,0,964,785,179
MN,2010,7869,6730,1139,3605,2934,671,4264,3796,468,1409,1244,165,0,0,0,1490,1149,341,0,0,0,644,553,91
MO,2010,8122,6336,1786,4427,3290,1137,3695,3046,649,1196,994,202,0,0,0,1287,977,310,0,0,0,759,629,130
MP,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2010,2743,1181,1562,1924,661,1263,819,520,299,264,161,103,0,0,0,357,130,227,0,0,0,339,215,124
MT,2010,1615,1168,447,890,562,328,725,606,119,238,201,37,0,0,0,145,96,49,0,0,0,262,156,106
NC,2010,12191,9173,3018,8361,5892,2469,3830,3281,549,1293,1108,185,0,0,0,1479,1077,402,0,0,0,1084,907,177
ND,2010,799,768,31,539,513,26,260,255,5,82,80,2,0,0,0,64,61,3,0,0,0,119,114,5
NE,2010,3877,3355,522,2423,2018,405,1454,1337,117,482,445,37,0,0,0,535,416,119,0,0,0,305,243,62
NH,2010,1574,1337,237,943,740,203,631,597,34,236,223,13,0,0,0,326,280,46,0,0,0,173,143,30
NJ,2010,13737,12083,1654,6520,5271,1249,7217,6812,405,2572,2411,161,0,0,0,877,617,260,0,0,0,567,488,79
NM,2010,3475,2108,1367,2343,1102,1241,1132,1006,126,304,252,52,0,0,0,779,341,438,0,0,0,441,259,182
NV,2010,11205,7848,3357,9565,6233,3332,1640,1615,25,435,425,10,0,0,0,1415,253,1162,0,0,0,1843,1230,613
NY,2010,65606,61467,4139,26293,22292,4001,39313,39175,138,12332,12283,49,0,0,0,4259,1905,2354,0,0,0,5857,5046,811
OH,2010,12569,10729,1840,7719,6295,1424,4850,4434,416,1595,1453,142,0,0,0,2240,1676,564,0,0,0,1527,1293,234
OK,2010,5229,3315,1914,3317,2239,1078,1912,1076,836,665,360,305,0,0,0,620,395,225,0,0,0,474,350,124
OR,2010,19492,7231,12261,10731,3654,7077,8761,3577,5184,2811,1164,1647,0,0,0,2601,683,1918,0,0,0,1285,573,712
PA,2010,14516,13418,1098,7191,6125,1066,7325,7293,32,2393,2380,13,0,0,0,1524,868,656,0,0,0,1441,1274,167
PR,2010,4149,1404,2745,3721,1124,2597,428,280,148,149,98,51,0,0,0,2218,684,1534,0,0,0,106,33,73
RI,2010,1282,1206,76,704,632,72,578,574,4,216,215,1,0,0,0,86,60,26,0,0,0,91,87,4
SC,2010,4473,3036,1437,3194,1945,1249,1279,1091,188,474,403,71,0,0,0,674,392,282,0,0,0,687,497,190
SD,2010,731,667,64,445,381,64,286,286,0,87,87,0,0,0,0,109,45,64,0,0,0,135,118,17
TN,2010,10276,6999,3277,7623,5060,2563,2653,1939,714,956,665,291,0,0,0,2495,1496,999,0,0,0,1679,1075,604
TX,2010,35121,19191,15930,24078,11249,12829,11043,7942,3101,3987,2796,1191,0,0,0,6512,2577,3935,0,0,0,5133,2688,2445
UT,2010,3284,2722,562,1926,1393,533,1358,1329,29,404,395,9,0,0,0,406,125,281,0,0,0,342,301,41
VA,2010,9080,7439,1641,5338,3966,1372,3742,3473,269,1181,1089,92,0,0,0,1510,983,527,0,0,0,995,830,165
VI,2010,487,92,395,468,73,395,19,19,0,9,9,0,0,0,0,385,20,365,0,0,0,42,10,32
VT,2010,1220,1078,142,797,672,125,423,406,17,167,162,5,0,0,0,133,85,48,0,0,0,117,104,13
WA,2010,22878,16489,6389,11901,6705,5196,10977,9784,1193,3388,3023,365,0,0,0,2106,1281,825,0,0,0,2043,1282,761
WI,2010,6333,5253,1080,3040,2598,442,3293,2655,638,1080,856,224,0,0,0,727,608,119,0,0,0,609,581,28
WV,2010,2264,1524,740,1527,1048,479,737,476,261,245,169,76,0,0,0,516,358,158,0,0,0,576,393,183
WY,2010,579,515,64,327,269,58,252,246,6,90,88,2,0,0,0,101,52,49,0,0,0,85,71,14
AK,2009,1992,1665,327,1239,989,250,753,676,77,237,210,27,0,0,0,323,245,78,0,0,0,259,222,37
AL,2009,6080,3913,2167,4686,3031,1655,1394,882,512,509,313,196,0,0,0,1189,652,537,0,0,0,1063,858,205
AR,2009,2852,1730,1122,2181,1297,884,671,433,238,234,143,91,0,0,0,406,146,260,0,0,0,249,168,82
AZ,2009,14721,8366,6355,9959,4291,5668,4762,4075,687,1406,1251,155,0,0,0,2229,538,1691,0,0,0,2343,1216,1127
CA,2009,123678,50777,72901,97534,32417,65117,26144,18360,7784,8613,6143,2470,0,0,0,31412,7001,24411,0,0,0,17973,6799,11174
CO,2009,15268,9031,6237,7401,4576,2825,7867,4455,3412,2224,1353,871,0,0,0,1286,510,776,0,0,0,1471,964,507
CT,2009,4605,4103,502,2773,2288,485,1832,1815,17,624,617,7,0,0,0,824,640,184,0,0,0,462,401,61
DC,2009,6228,5907,321,3934,3613,321,2294,2294,0,703,703,0,0,0,0,1923,1632,291,0,0,0,642,613,29
DE,2009,1130,1083,47,776,729,47,354,354,0,117,117,0,0,0,0,167,150,17,0,0,0,100,91,9
FL,2009,55599,21867,33732,34432,13827,20605,21167,8040,13127,7751,2613,5138,0,0,0,9062,3493,5569,0,0,0,7135,2907,4228
GA,2009,20360,9419,10941,14365,5765,8600,5995,3654,2341,1895,1169,726,0,0,0,3771,1620,2151,0,0,0,2760,1373,1387
GU,2009,1088,182,906,391,52,339,697,130,567,168,32,136,0,0,0,87,19,68,0,0,0,22,3,19
HI,2009,5782,3268,2514,2941,1009,1932,2841,2259,582,784,621,163,0,0,0,772,124,648,0,0,0,499,234,265
IA,2009,3380,3221,159,1655,1524,131,1725,1697,28,532,523,9,0,0,0,306,238,68,0,0,0,270,247,23
ID,2009,1939,1477,462,1117,821,296,822,656,166,280,220,60,0,0,0,210,157,53,0,0,0,270,194,76
IL,2009,14055,11851,2204,7475,5642,1833,6580,6209,371,2093,1981,112,0,0,0,2212,1564,648,0,0,0,1028,801,227
IN,2009,6984,5206,1778,4151,2687,1464,2833,2519,314,975,872,103,0,0,0,765,505,260,0,0,0,740,586,154
KS,2009,1892,1696,196,1238,1086,152,654,610,44,205,191,14,0,0,0,238,196,42,0,0,0,638,578,60
KY,2009,5999,5299,700,3302,2765,537,2697,2534,163,858,807,51,0,0,0,671,491,180,0,0,0,675,597,78
LA,2009,12504,4118,8386,10098,2387,7711,2406,1731,675,764,555,209,0,0,0,4815,226,4589,0,0,0,1985,441,1544
MA,2009,15482,14476,1006,7057,6174,883,8425,8302,123,3035,2984,51,0,0,0,1937,1490,447,0,0,0,1890,1709,181
MD,2009,11698,7446,4252,6641,4623,2018,5057,2823,2234,1675,929,746,0,0,0,2062,1243,819,0,0,0,932,698,234
ME,2009,2444,2406,38,1124,1092,32,1320,1314,6,445,443,2,0,0,0,186,178,8,0,0,0,123,119,4
MI,2009,14005,11298,2707,7857,6019,1838,6148,5279,869,2012,1723,289,0,0,0,1649,1171,478,0,0,0,1054,877,177
MN,2009,7718,6772,946,3393,2668,725,4325,4104,221,1362,1298,64,0,0,0,1449,1129,320,0,0,0,525,441,84
MO,2009,6959,5469,1490,3823,2933,890,3136,2536,600,1031,852,179,0,0,0,892,691,201,0,0,0,699,569,130
MP,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2009,2797,1221,1576,1843,655,1188,954,566,388,301,173,128,0,0,0,522,152,370,0,0,0,358,197,161
MT,2009,1196,833,363,752,481,271,444,352,92,133,111,22,0,0,0,160,107,53,0,0,0,206,128,78
NC,2009,12918,8473,4445,9159,5576,3583,3759,2897,862,1184,910,274,0,0,0,1490,1107,383,0,0,0,1118,854,264
ND,2009,773,765,8,548,540,8,225,225,0,72,72,0,0,0,0,70,66,4,0,0,0,168,166,2
NE,2009,3718,3079,639,2072,1747,325,1646,1332,314,530,433,97,0,0,0,495,413,82,0,0,0,298,263,35
NH,2009,1645,1406,239,891,670,221,754,736,18,259,253,6,0,0,0,330,285,45,0,0,0,167,150,17
NJ,2009,13169,11871,1298,5962,5005,957,7207,6866,341,2498,2374,124,0,0,0,934,704,230,0,0,0,618,542,76
NM,2009,3475,2108,1367,2343,1102,1241,1132,1006,126,304,252,52,0,0,0,779,341,438,0,0,0,408,226,182
NV,2009,11089,7792,3297,9394,6143,3251,1695,1649,46,438,424,14,0,0,0,1297,196,1101,0,0,0,1936,1329,607
NY,2009,61067,57454,3613,24557,21005,3552,36510,36449,61,11402,11377,25,0,0,0,4280,2272,2008,0,0,0,5879,5047,832
OH,2009,12700,10929,1771,7774,6430,1344,4926,4499,427,1648,1520,128,0,0,0,2303,1838,465,0,0,0,1390,1185,205
OK,2009,4838,3307,1531,3227,2185,1042,1611,1122,489,545,392,153,0,0,0,654,538,116,0,0,0,475,416,59
OR,2009,17309,7442,9867,10443,3992,6451,6866,3450,3416,2233,1138,1095,0,0,0,2842,919,1923,0,0,0,1277,672,605
PA,2009,15096,13819,1277,7384,6191,1193,7712,7628,84,2497,2466,31,0,0,0,1798,1027,771,0,0,0,1440,1282,158
PR,2009,4070,1325,2745,3730,1133,2597,340,192,148,109,58,51,0,0,0,2195,661,1534,0,0,0,97,24,73
RI,2009,1607,1556,51,1139,1088,51,468,468,0,202,202,0,0,0,0,220,190,30,0,0,0,120,113,7
SC,2009,4473,3036,1437,3194,1945,1249,1279,1091,188,474,403,71,0,0,0,674,392,282,0,0,0,629,439,190
SD,2009,731,667,64,445,381,64,286,286,0,87,87,0,0,0,0,109,45,64,0,0,0,160,138,22
TN,2009,10532,7133,3399,8048,5520,2528,2484,1613,871,967,587,380,0,0,0,2632,1498,1134,0,0,0,1142,839,303
TX,2009,36761,21658,15103,22564,12943,9621,14197,8715,5482,5282,2936,2346,0,0,0,6020,2741,3279,0,0,0,5491,2735,2756
UT,2009,3795,3540,255,2242,1987,255,1553,1553,0,537,537,0,0,0,0,700,445,255,0,0,0,166,110,56
VA,2009,8852,7284,1568,5066,3863,1203,3786,3421,365,1247,1117,130,0,0,0,1621,1034,587,0,0,0,960,782,178
VI,2009,471,76,395,430,35,395,41,41,0,18,18,0,0,0,0,369,4,365,0,0,0,32,0,32
VT,2009,1214,1057,157,693,571,122,521,486,35,193,178,15,0,0,0,134,79,55,0,0,0,61,52,9
WA,2009,22782,16237,6545,12086,6639,5447,10696,9598,1098,3465,3071,394,0,0,0,2609,1608,1001,0,0,0,1963,1168,795
WI,2009,6525,5465,1060,3161,2733,428,3364,2732,632,1108,883,225,0,0,0,716,612,104,0,0,0,608,575,33
WV,2009,1667,1278,389,1101,848,253,566,430,136,177,138,39,0,0,0,337,239,98,0,0,0,271,177,94
WY,2009,515,451,64,340,282,58,175,169,6,72,70,2,0,0,0,79,30,49,0,0,0,117,95,22
