State,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
LA,2017,3305,2330,975,2559,1647,912,746,683,63,231,211,20,618,183,435,609,174,435,9,9,0,383,329,54
MA,2017,17565,16574,991,6267,5288,979,11298,11286,12,3430,3426,4,1914,1555,359,1238,885,353,676,670,6,853,808,45
MD,2017,7247,5511,1736,5077,3509,1568,2170,2002,168,681,635,46,1520,816,704,1436,746,690,84,70,14,536,440,96
ME,2017,2280,2100,180,1352,1244,108,928,856,72,307,286,21,201,201,0,189,189,0,12,12,0,131,120,11
MI,2017,9051,8028,1023,5628,4715,913,3423,3313,110,1060,1026,34,774,538,236,709,482,227,65,56,9,773,713,60
MN,2017,7668,6560,1108,3899,2892,1007,3769,3668,101,1140,1110,30,906,552,354,813,472,341,93,80,13,281,244,37
MO,2017,6037,4885,1152,3768,2770,998,2269,2115,154,749,705,44,1087,723,364,883,525,358,204,198,6,538,449,89
MP,2017,672,24,648,208,11,197,464,13,451,131,3,128,0,0,0,0,0,0,0,0,0,0,0,0
MS,2017,1472,753,719,1100,452,648,372,301,71,111,90,21,72,24,48,61,13,48,11,11,0,57,39,18
MT,2017,1529,985,544,987,633,354,542,352,190,169,117,52,198,75,123,182,73,109,16,2,14,205,125,80
NC,2017,8962,6511,2451,6044,4129,1915,2918,2382,536,911,748,163,1075,396,679,994,359,635,81,37,44,931,732,199
ND,2017,1089,758,331,832,650,182,257,108,149,77,36,41,45,25,20,37,25,12,8,0,8,74,58,16
NE,2017,2501,2381,120,1698,1578,120,803,803,0,266,266,0,375,299,76,361,285,76,14,14,0,174,172,2
NH,2017,1456,1282,174,776,638,138,680,644,36,238,221,17,137,62,75,100,38,62,37,24,13,124,113,11
NJ,2017,8536,7122,1414,5433,4038,1395,3103,3084,19,1018,1011,7,1069,652,417,955,542,413,114,110,4,583,494,89
NM,2017,2482,1686,796,1865,1147,718,617,539,78,191,164,27,814,463,351,712,385,327,102,78,24,248,135,113
NV,2017,7833,3255,4578,7281,2721,4560,552,534,18,186,179,7,512,123,389,502,121,381,10,2,8,832,492,340
